id,fund_id,manager_ar,manager_en,name_en,name_ar,short_name_ar,short_name_en,objective,category_ar,category_en,goals_ar,goals_en,sharia_compliant,logo,compare_index_ar,compare_index_en,inception_date,inception_price,currency,investment_percent,profit,risk,duration,index,ratio,aum,valuation_date,valuation_days_ar,valuation_days_en,announcement_days_ar,announcement_days_en,nav_per_unit,show,created_at,updated_at,minimum_subscription
"64","012021","الراجحي المالية","Al Rajhi Capital","Al-Rajhi GCC Equity Fund","صندوق الراجحي للاسهم الخليجيه","الاسهم الخليجية",\N,"1","صناديق الأسهم - محلية",\N,\N,\N,"1","alraajihi.jpg","مؤشر ستاندرز آند بورز للأسهم الخليجية&#13;المتوافقة مع الشريعة",\N,"2005-10-16","102.59","SAR","0","10.17","3","",\N,\N,"167921514.35","2023-05-10","الأحد والاربعاء","Sunday and Wednesday","الإثنين والخميس","Monday and Thursday","244.4875","0","2021-10-28 18:49:10","2023-05-14 04:23:45","5,000"
"65","012027","الراجحي المالية","Al Rajhi Capital","Al Rajhi MENA Dividend Growth Fund","الراجحي لتنمية رأس المال وتوزيع الأرباح","الراجحي لتنمية رأس المال",\N,"1","صناديق الأسهم - محلية",\N,\N,\N,"1","alraajihi.jpg","مؤشر ستاندرد آند بورز لنمو الأرباح المتوافقة مع الشريعة في أسهم الشرق الأوسط وشمال أفريقيا",\N,"2012-03-17","101.3454","SAR","0","11.76","3","",\N,\N,"67245355.78","2023-05-15","الإثنين و الأربعاء","Monday and Wednesday","الثلاثاء و الخميس","Tuesday and Thursday","129.0661","0","2021-10-28 18:49:10","2023-05-17 04:38:01","5,000"
"67","045008","شركة الإنماء للإستثمار","Alinma Investment Company","Alinma Orphan Care Endowment Fund","صندوق الإنماء الوقفي لرعاية الايتام","صندوق لرعاية الايتام",\N,"1","صناديق متعددة الأصول",\N,\N,\N,"1","alinma.jpg","",\N,"2019-07-21","10","SAR","0","2.1","3","",\N,\N,"22371576.34","2022-12-31","ربع سنوي","Quarterly","ربع سنوي","Quarterly","11.9478","0","2021-10-28 18:49:10","2023-01-09 04:05:19","1,000"
"68","006028","شركة الأول للاستثمار","SAB Invest","SAB Invest GCC Equity Fund","صندوق الأول للإستثمار للأسھم الخلیجیة","الأسهم الخليجية",\N,"1","صناديق الأسهم - محلية",\N,\N,\N,"1","HSBC.png","",\N,"2006-04-02","7.4742","SAR","0","14.13","3","",\N,\N,"146267313.56","2023-05-24","من الاثنين حتى الاربعاء","Monday and Wednesday","الثلاثاء و الخميس","Tuesday and Thursday","27.8231","0","2021-10-28 18:49:10","2023-05-28 04:07:10","5,000"
"71","002009","الجزيرة للأسواق المالية","Aljazira Capital","AlJazira Asset Allocation Fund - Moderate Strategy","صندوق الجزيرة لتوزيع الأصول - الاستراتيجية المتوازنة","صندوق الجزيرة المتوازن",\N,"1","صناديق قابضة",\N,\N,\N,"1","aljazira.png","FOF Balanced Index ويتكون بنسبة 50% من مؤشر سايبور الشهري ونسبة 50% من العائد المرجح المتساوي لمؤشرات صناديق الأسهم لدى شركة الجزيرة للأسواق المالية.",\N,"2013-03-09","100","SAR","0","-0.02","2","",\N,\N,"86155694.87","2023-01-08","الأحد والاربعاء","Sunday and Wednesday","الإثنين والخميس","Monday and Thursday","139.2205","0","2021-10-28 18:49:10","2023-01-10 04:15:18","500"
"72","002010","الجزيرة للأسواق المالية","Aljazira Capital","AlJazira Asset Allocation Fund - Growth Strategy","صندوق الجزيرة لتوزيع الأصول - استراتيجية النمو","صندوق الجزيرة الجسور",\N,"1","صناديق قابضة",\N,\N,\N,"1","aljazira.png","FOF Aggressive Index ويتكون بنسبة 20% من مؤشر سايبور الشهري ونسبة 80% من العائد المرجح المتساوي لمؤشرات صناديق الأسهم لدى شركة الجزيرة للأسواق المالية.",\N,"2013-03-09","100","SAR","0","0.87","3","",\N,\N,"222895424.98","2023-01-04","الأحد والاربعاء","Sunday and Wednesday","الإثنين والخميس","Monday and Thursday","157.931","0","2021-10-28 18:49:10","2023-01-09 04:05:19","500"
"73","002008","الجزيرة للأسواق المالية","Aljazira Capital","AlJazira Asset Allocation Fund - Conservative Strategy","صندوق الجزيرة لتوزيع الأصول - الاستراتيجية المتحفظة","صندوق الجزيرة المتحفظ",\N,"1","صناديق قابضة",\N,\N,\N,"1","aljazira.png","Index FOF Conservative ويتكون بنسبة 80% من مؤشر سايبور الشهري ونسبة 20% من العائد المرجح المتساوي لمؤشرات صناديق الأسهم لدى شركة الجزيرة للأسواق المالية.",\N,"2013-03-09","100","SAR","0","0.11","1","",\N,\N,"135410574.92","2023-01-04","الأحد والاربعاء","Sunday and Wednesday","الإثنين والخميس","Monday and Thursday","125.2891","0","2021-10-28 18:49:10","2023-01-09 04:05:19","500"
"74","002001","الجزيرة للأسواق المالية","Aljazira Capital","AlJazira International Equities Fund","صندوق الجزيرة للأسهم العالمية","الجزيرة للأسهم العالمية",\N,"1","صناديق الأسهم - عالمية/ دولية",\N,\N,\N,"1","aljazira.png","مؤشر داو جونز للأسهم العالمية الإسلامية",\N,"1998-09-21","70.9909","USD","0","-1.14","3","",\N,\N,"92704247.27","2023-01-05","الخميس و الاثنين","Thursday and Monday","الأحد والثلاثاء","Sunday and Tuesday","139.4392","0","2021-10-28 18:49:10","2023-01-09 04:05:18","2,000"
"76","002007","الجزيرة للأسواق المالية","Aljazira Capital","ALJAZIRA GLOBAL EMERGING MARKETS FUND","صندوق الجزيرة لأسهم الأسواق العالمية الناشئة","صندوق الأسواق الناشئة",\N,"1","صناديق الأسهم - عالمية/ دولية",\N,\N,\N,"1","aljazira.png","مؤشر داو جونز الإسلامي المتخصص في الأسواق الناشئة",\N,"2013-01-01","100.2438","USD","0","3.91","3","",\N,\N,"6447603.96","2023-01-05","الخميس و الاثنين","Thursday and Monday","الأحد والثلاثاء","Sunday and Tuesday","127.8707","0","2021-10-28 18:49:10","2023-01-09 04:05:19","2,000"
"77","009040","شركة الأهلي المالية","SNB Capital","SNB Capital Al Ataa GCC Equity Fund","صندوق الأهلي العطاء للأسهم الخليجية","صندوق العطاء الخليجي",\N,"1","صناديق الأسهم - محلية","Equity Funds - Local",\N,\N,"1","samba.jpg","مؤشرS&P للأسهم الخليجية المتوافق مع المعايير الشرعية",\N,"2015-11-26","9.9974","SAR","0","19.99","3","",\N,\N,"34724101.25","2023-06-08","الإثنين و الأربعاء","Monday and Wednesday","الثلاثاء و الخميس","Tuesday and Thursday","14.5258","0","2021-10-28 18:49:10","2023-06-12 04:33:52","5,000"
"78","014002","شركة البلاد للاستثمار","ALBILAD Investment Co","Albilad Kuwait Equity Fund","صندوق البلاد للأسهم الكويتية","البلاد للأسهم الكويتية",\N,"1","صناديق الأسهم - خليجية",\N,\N,\N,"1","Albilad.png","ايدال ريتنق Albilad_Capital_Kuwait",\N,"2006-01-01","1","KWD","0","-3.19","3","",\N,\N,"1019856.93","2023-01-04","الأحد والاربعاء","Sunday and Wednesday","الإثنين والخميس","Monday and Thursday","0.5645","0","2021-10-28 18:49:10","2023-01-09 04:05:19","800"
"80","009030","شركة الأهلي المالية","SNB Capital","SNB Capital Real Estate Fund","صندوق الأهلي العقاري","العقاري",\N,"1","صناديق عقارية",\N,\N,\N,"0","samba.jpg","%25 معدل العائد على أسهم الشركات العقارية المدرجة ،15 % أسهم شركات عقارية مدرجة 60 % سلة من الصكوك ذات فترات استحقاق تزيد عن 3 سنوات بناء على العائد في تاريخ الاستحقاق",\N,"2007-02-01","10.019","SAR","0","0.99","3","",\N,\N,"44211534.6","2022-12-28","نصف سنوي","Semi-Annual","الخميس","Thursday","2.5148","0","2021-10-28 18:49:10","2023-01-09 04:05:19","25,000"
"81","008030","شركة العربي المالية","ANB Capital","ANB Capital IPO Fund (Shariah)","صندوق العربي المالية للاكتتابات الأولية (المتوافق مع الشريعة)","المبارك للاكتتابات الأولية",\N,"1","صناديق الأسهم - محلية","Equity Funds - Local",\N,\N,"1","anb.jfif","مؤشر العربي للاكتتابات الأولية المتوافق مع المعايير الشرعية المعد من قبل ستاندرد اند بورز (S&P)",\N,"2016-05-08","9.9988","SAR","0","18.75","3","",\N,\N,"93221887.23","2023-06-08","يومي","Daily","يومي","Daily","15.7398","0","2021-10-28 18:49:10","2023-06-12 04:31:04","7,500"
"82","002011","الجزيرة للأسواق المالية","Aljazira Capital","AlJazira GCC Income Fund","صندوق الجزيرة الخليجي للدخل","صندوق الخليجي للدخل",\N,"1","صناديق الأسهم - محلية",\N,\N,\N,"1","aljazira.png","مؤشر ستاندرد اند بورز المركب للأسهم الخليجية المتوافقة مع الشريعة",\N,"2013-07-28","100","SAR","0","17.8","3","",\N,\N,"20098649.45","2023-06-08","الإثنين والخميس","Monday and Thursday","الأحد والثلاثاء","Sunday and Tuesday","185.4264","0","2021-10-28 18:49:10","2023-06-12 05:03:32","5,000"
"84","009037","شركة الأهلي المالية","SNB Capital","SNB Capital Europe Equity Fund","صندوق الأهلي للأسهم الأوروبية","الأسهم الاوروبية",\N,"1","صناديق الأسهم - أوروبية",\N,\N,\N,"0","samba.jpg","مؤشر ام اس سي اي الأوروبي",\N,"2011-09-26","10","USD","0","-5.79","3","",\N,\N,"219756.57","2022-02-28","الإثنين و الأربعاء","Monday and Wednesday","الأحد والاربعاء","Sunday and Wednesday","16.2894","0","2021-10-28 18:49:10","2022-12-13 04:05:37","2,000"
"88","009039","شركة الأهلي المالية","SNB Capital","Al Nafees Global Commodities Equity Fund","صندوق النفيس العالمي لاسهم السلع","النفيس",\N,"1","صناديق الأسهم - عالمية/ دولية",\N,\N,\N,"1","samba.jpg","مؤشر ام اس سي اي المتوافق مع الشريعة الاسلامية لمنتجي السلع",\N,"2011-12-19","10.0396","USD","9645390","5.08","3","",\N,\N,"1289349","2022-02-28","الإثنين و الأربعاء","Monday and Wednesday","الأحد والاربعاء","Sunday and Wednesday","11.0457","0","2021-10-28 18:49:10","2022-12-13 04:05:37","2,000"
"89","009028","شركة الأهلي المالية","SNB Capital","SNB Capital Al-Raed GCC Fund","صندوق الأهلي الرائـد الخليجي","الرائد الخليجي",\N,"1","صناديق الأسهم - محلية","Equity Funds - Local",\N,\N,"1","samba.jpg","مؤشراس اند بي للأسهم الخليجية المتوافقة مع الشريعة الإسلامية",\N,"2006-10-08","10","SAR","0","15.71","3","",\N,\N,"39209633.41","2023-05-30","الإثنين و الأربعاء","Monday and Wednesday","الثلاثاء و الخميس","Tuesday and Thursday","34.4358","0","2021-10-28 18:49:10","2023-06-01 04:16:35","7,500"
"90","009038","شركة الأهلي المالية","SNB Capital","SNB Capital Global Equity Fund","صندوق الأهلي للأسهم العالمية","الأسهم العالمية",\N,"1","صناديق الأسهم - عالمية/ دولية",\N,\N,\N,"0","samba.jpg","مؤشر ام اس سي اي العالمي",\N,"2011-09-26","10","USD","0","2.43","3","",\N,\N,"2354219.73","2023-01-04","الإثنين و الأربعاء","Monday and Wednesday","الأحد والاربعاء","Sunday and Wednesday","22.5367","0","2021-10-28 18:49:10","2023-01-09 04:05:19","2,000"
"91","009036","شركة الأهلي المالية","SNB Capital","SNB Capital Asian Equity Fund","صندوق الأهلي للأسهم الآسيوية","الأسهم الاسيوية",\N,"1","صناديق الأسهم - آسيوية",\N,\N,\N,"0","samba.jpg","مؤشر ام اس سي اي الاسيوي",\N,"2011-09-26","10","USD","0","-3.03","3","",\N,\N,"240681.96","2022-02-28","الإثنين و الأربعاء","Monday and Wednesday","الأحد والاربعاء","Sunday and Wednesday","16.1033","0","2021-10-28 18:49:10","2022-12-13 04:05:37","2,000"
"92","009035","شركة الأهلي المالية","SNB Capital","SNB Capital Americas Equity Fund","صندوق الأهلي للأسهم الامريكية","الأسهم الامريكية",\N,"1","صناديق الأسهم - أمريكية",\N,\N,\N,"0","samba.jpg","مؤشر ام اس سي اي الامريكي",\N,"2011-09-26","10","USD","0","-0.11","3","",\N,\N,"5338425.52","2022-02-28","الإثنين و الأربعاء","Monday and Wednesday","الأحد والاربعاء","Sunday and Wednesday","34.0797","0","2021-10-28 18:49:10","2022-12-13 04:05:37","2,000"
"93","009029","شركة الأهلي المالية","SNB Capital","SNB Capital Al Musahem GCC Fund","صنـدوق الأهلي المساهم الخليجي","المساهم الخليجي",\N,"1","صناديق الأسهم - محلية",\N,\N,\N,"0","samba.jpg","مؤشر إس آند بي للأسهم الخليجية",\N,"2006-10-08","10","SAR","0","9.07","3","",\N,\N,"131095169","2023-05-15","الإثنين و الأربعاء","Monday and Wednesday","الثلاثاء و الخميس","Tuesday and Thursday","32.9764","0","2021-10-28 18:49:10","2023-05-17 04:11:13","7,500"
"94","009042","شركة الأهلي المالية","SNB Capital","SNB Capital Al Jood GCC Equity Fund","صندوق الأهلي الجود للأسهم الخليجية","الجود الخليجي",\N,"1","صناديق الأسهم - محلية","Equity Funds - Local",\N,\N,"1","samba.jpg","مؤشر S&P لعائد التوزيعات للأسهم الخليجية المتوافقة مع المعايير الشرعية",\N,"2017-05-31","9.9974","SAR","0","21.29","3","",\N,\N,"35737436.16","2023-06-08","الإثنين و الأربعاء","Monday and Wednesday","الثلاثاء و الخميس","Tuesday and Thursday","13.1258","0","2021-10-28 18:49:10","2023-06-12 04:33:08","5,000"
"95","009027","شركة الأهلي المالية","SNB Capital","SNB Capital China Equity Fund","صندوق الأهلي للأسهم الصينية","إزدهار",\N,"1","صناديق الأسهم - آسيوية",\N,\N,\N,"0","samba.jpg","مؤشر أم أس سي إي الصيني",\N,"2005-06-01","10.1177","USD","0","6","3","",\N,\N,"8004118.65","2023-01-04","الإثنين و الأربعاء","Monday and Wednesday","الأحد والاربعاء","Sunday and Wednesday","21.4445","0","2021-10-28 18:49:10","2023-01-09 04:05:19","2,000"
"96","001004","شركة الرياض المالية","Riyad Capital Company","Riyad American Equity Fund","صندوق الرياض للأسهم الأمريكية","الأسهم الأمريكية",\N,"1","صناديق الأسهم - أمريكية",\N,\N,\N,"0","Riyad.png","ستاندرد اند بور 500",\N,"1992-05-26","23.8615","USD","0","2.05","3","",\N,\N,"3535293.99","2023-01-10","من الاثنين حتى الاربعاء","Monday to Wednesday","من الاثنين حتى الاربعاء","Monday to Wednesday","110.4001","0","2021-10-28 18:49:10","2023-01-12 04:17:55","2,500"
"97","001041","شركة الرياض المالية","Riyad Capital Company","Riyad  Al Shuja,a Sharia Fund","صندوق الرياض الشجاع المتوافق مع الشريعة","الشجاع شريعة",\N,"1","صناديق متعددة الأصول",\N,\N,\N,"1","Riyad.png","مؤشر مركب",\N,"2002-12-31","9.2455","SAR","0","1.67","3","",\N,\N,"14148430.53","2023-01-10","من الإثنين حتى الخميس","Monday to Thursday","من الأحد حتى الأربعاء","Sunday to Wednesday","29.7028","0","2021-10-28 18:49:10","2023-01-12 04:17:55","5,000"
"100","005029","السعودي الفرنسي كابيتال","Saudi Fransi Capital","Saudi Fransi GCC IPO Fund","صندوق السعودي الفرنسي الخليجي للطروحات الأوليه","السعودى الفرنسي الخليجي للطروحات الأوليه",\N,"1","صناديق الأسهم - محلية","Equity Funds - Local",\N,\N,"1","Saudi fransi.jpg","ا IdealRatings IPO Index&#13; و الذي تقوم باحتسابه و إعداده شركة IdealRatings",\N,"2015-06-24","10","SAR","0","15.08","3","",\N,\N,"326574527.65","2023-05-04","الإثنين والخميس","Monday and Thursday","الأحد والثلاثاء","Sunday and Tuesday","15.3959","0","2021-10-28 18:49:10","2023-05-08 04:02:58","2,000"
"102","045010","شركة الإنماء للإستثمار","Alinma Investment Company","Alinma Roads Mosques Endowment Fund","صندوق الإنماء الوقفي لمساجد الطرق","صندوق الإنماء الوقفي لمساجد الطرق",\N,"1","صناديق متعددة الأصول",\N,\N,\N,"1","alinma.jpg","",\N,"2020-01-14","10","SAR","0","2.18","3","",\N,\N,"58733599.99","2022-12-31","ربع سنوي","Quarterly","ربع سنوي","Quarterly","11.6774","0","2021-10-28 18:49:10","2023-01-09 04:05:19","1,000"
"103","030030","جدوى للإستثمار","Jadwa Investment","Nafaqah Waqf Fund","صندوق النفقة الوقفي","صندوق النفقة الوقفي",\N,"1","صناديق قابضة",\N,\N,\N,"1","jadwa.jpg","المؤشر المعياري لأداء الصندوق هو معيار موزون على التوزيع الاستراتيجي بناء على وزن كل فئة أصول تعتمد على على توزيع الاستراتيجي للأصول",\N,"2020-10-20","10","SAR","0","0.4","3","",\N,\N,"23775514.9","2023-01-05","الإثنين والخميس","Monday and Thursday","الأحد والثلاثاء","Sunday and Tuesday","10.9191","0","2021-10-28 18:49:10","2023-01-09 04:05:18","1,000"
"104","045007","شركة الإنماء للإستثمار","Alinma Investment Company","Alinma Wareef Endowment Fund","صندوق الإنماء وريف الوقفي","صندوق وريف",\N,"1","صناديق متعددة الأصول",\N,\N,\N,"1","alinma.jpg","",\N,"2018-11-01","10","SAR","0","3.69","3","",\N,\N,"68866481.01","2022-12-31","ربع سنوي","Quarterly","ربع سنوي","Quarterly","12.1926","0","2021-10-28 18:49:10","2023-01-09 04:05:19","1,000"
"105","005022","السعودي الفرنسي كابيتال","Saudi Fransi Capital","Al-Danah GCC Equity Trading Fund","صندوق الدانة للمتاجرة بالأسهم الخليجية","الدانة",\N,"1","صناديق الأسهم - محلية","Equity Funds - Local",\N,\N,"1","Saudi fransi.jpg","GCC Shariah Capped Equity Index",\N,"2006-04-17","10","SAR","0","14.94","3","",\N,\N,"19823948.44","2023-06-08","الثلاثاء و الخميس","Tuesday and Thursday","الأحد والاربعاء","Sunday and Wednesday","25.3924","0","2021-10-28 18:49:10","2023-06-12 04:48:00","2,000"
"109","006024","شركة الأول للاستثمار","Alawwal Invest","Alawwal Invest Multi Assets Growth Fund","صندوق الأول للإستثمار المتنامي للأصول المتنوعة","المحفظة المتنامية",\N,"1","صناديق متعددة الأصول",\N,\N,\N,"1","HSBC.png","",\N,"2004-12-28","11.964","SAR","0","0.21","3","",\N,\N,"172590124.01","2023-01-04","من الاثنين حتى الاربعاء","Monday to Wednesday","الثلاثاء و الخميس","Tuesday and Thursday","27.0174","0","2021-10-28 18:49:10","2023-01-09 04:05:19","5,000"
"111","005024","السعودي الفرنسي كابيتال","Saudi Fransi Capital","Al-Qasr GCC Real Estate and Construction Equity Trading Fund","صندوق القصر العقاري الخليجي","القصر العقاري",\N,"1","صناديق الأسهم - محلية","Equity Funds - Local",\N,\N,"1","Saudi fransi.jpg","مؤشر أسهم دول مجلس التعاون الخليجي للبناء و العقار المتوافق مع الشريعة الاسلامية",\N,"2007-04-16","10","SAR","0","17.2","3","",\N,\N,"10141104.4","2023-06-08","الثلاثاء و الخميس","Tuesday and Thursday","الأحد والاربعاء","Sunday and Wednesday","16.777","0","2021-10-28 18:49:10","2023-06-12 04:49:21","2,000"
"113","030004","جدوى للإستثمار","Jadwa Investment","Jadwa GCC Equity Fund - Class B","صندوق جدوى للأسهم الخليجية - الفئة ب","صندوق الخليجية ب",\N,"1","صناديق الأسهم - محلية","Equity Funds - Local",\N,\N,"1","jadwa.jpg","مؤشر ستاندرد آند بورز المركب للأسهم الخليجية المتوافقة مع الضوابط الشرعية",\N,"2007-06-30","100.156","SAR","0","15.19","3","",\N,\N,"76518970.56","2023-06-06","يومي","Daily","يومي","Daily","625.2812","0","2021-10-28 18:49:10","2023-06-08 05:14:38","1,000"
"114","030018","جدوى للإستثمار","Jadwa Investment","Jadwa GCC Equity Fund - Class A","صندوق جدوى للأسهم الخليجية - الفئة أ","الخليجية الفئة أ",\N,"1","صناديق الأسهم - محلية","Equity Funds - Local",\N,\N,"1","jadwa.jpg","مؤشر ستاندرد آند بورز المركب للأسهم الخليجية المتوافقة مع الضوابط الشرعية",\N,"2018-03-22","100","SAR","0","16.91","3","",\N,\N,"30137939.97","2023-06-08","يومي","Daily","يومي","Daily","176.6266","0","2021-10-28 18:49:10","2023-06-12 04:28:02","25,000,000"
"115","030021","جدوى للإستثمار","Jadwa Investment","Jadwa Arab Market Equity Fund - Class C","صندوق جدوى لأسواق الأسهم العربية - الفئة ج","العربية الفئة ج",\N,"1","صناديق الأسهم - محلية","Equity Funds - Local",\N,\N,"1","jadwa.jpg","مؤشر إس أند بي للأسهم العربية الإجمالى الموافق للشريعة",\N,"2018-03-22","100","SAR","0","14.11","3","",\N,\N,"122818.23","2023-06-06","يومي","Daily","يومي","Daily","197.1439","0","2021-10-28 18:49:10","2023-06-08 05:16:06","1,000"
"116","030005","جدوى للإستثمار","Jadwa Investment","Jadwa Arab Markets Equity Fund - Class B","صندوق جدوى لأسواق الأسهم العربية - الفئة ب","صندوق العربية ب",\N,"1","صناديق الأسهم - محلية","Equity Funds - Local",\N,\N,"1","jadwa.jpg","مؤشر إس أند بي للأسهم العربية الإجمالى الموافق للشريعة",\N,"2007-06-30","100.1306","SAR","0","13.56","3","",\N,\N,"53088913.5","2023-06-06","يومي","Daily","يومي","Daily","548.2436","0","2021-10-28 18:49:10","2023-06-08 04:04:20","1,000"
"117","030020","جدوى للإستثمار","Jadwa Investment","Jadwa Arab Market Equity Fund - Class A","صندوق جدوى لأسواق الأسهم العربية - الفئة أ","العربية الفئة أ",\N,"1","صناديق الأسهم - محلية","Equity Funds - Local",\N,\N,"1","jadwa.jpg","مؤشر إس أند بي للأسهم العربية الإجمالى الموافق للشريعة",\N,"2018-03-22","100","SAR","0","13.96","3","",\N,\N,"16375430.8","2023-06-06","يومي","Daily","يومي","Daily","162.2942","0","2021-10-28 18:49:10","2023-06-08 04:01:35","25,000,000"
"118","030026","جدوى للإستثمار","Jadwa Investment","Jadwa Arab Markets Equity Fund - Class D","صندوق جدوى لأسواق الأسهم العربية - الفئة د","صندوق العربية د",\N,"1","صناديق الأسهم - عربية",\N,\N,\N,"1","jadwa.jpg","مؤشر ستاندرد آند بورز للأسهم العربية الإجمالى الموافق للشريعة (مجمل العوائد)",\N,"2007-06-30","10","USD","0","0","3","",\N,\N,"0","2023-01-10","يومي","Daily","يومي","Daily","10","0","2021-10-28 18:49:10","2023-01-12 04:17:55","50"
"119","102006","شركة كسب المالية","KSB Capital Company","KSB City Fund","صندوق مدينة كسب العقاري","مدينة كسب",\N,"1","صناديق عقارية",\N,\N,\N,"1","KASB.jpg","سعر التقيم",\N,"2011-08-16","10","SAR","19795","-8.34",\N,"",\N,\N,"136137945.26","2022-08-15","السبت","Saturday","الأحد","Sunday","8.5085","0","2021-10-28 18:49:10","2023-01-09 04:05:19","5,000"
"120","011017","شركة الأهلي المالية","SNB Capital","SNB Capital North America Index Fund","صندوق الأهلي لمؤشر أسهم أمريكا الشمالية","الأهلي لمؤشر أسهم أمريكا الشمالية",\N,"1","صناديق الأسهم - أمريكية",\N,\N,\N,"1","NCB.jpg","مؤشر إم إس سي آي الإسلامي لمنطقة أمريكا الشمالية من الفئة إم",\N,"1999-03-29","1.7892","USD","43570488","-1","3","",\N,\N,"335376325.68","2023-01-05","يومي","Daily","يومي","Daily","6.6153","0","2021-10-28 18:49:10","2023-01-09 04:05:19","7,500"
"121","011023","شركة الأهلي المالية","SNB Capital","SNB Capital Asia Pacific Index Fund","صندوق الأهلي لمؤشر أسهم آسيا والباسيفيك","الأهلي لمؤشر أسهم آسيا والباسيفيك",\N,"1","صناديق الأسهم - آسيوية",\N,\N,\N,"1","NCB.jpg","مؤشر إم إس سي آي الإسلامي لمنطقة المحيط الهادئ من الفئة إم",\N,"2020-05-25","0.5117","USD","0","-1.8","3","",\N,\N,"47168863.67","2023-01-05","يومي","Daily","يومي","Daily","1.6349","0","2021-10-28 18:49:10","2023-01-09 04:05:18","7,500"
"122","011012","شركة الأهلي المالية","SNB Capital","SNB Capital Europe Index Fund","صندوق الأهلي لمؤشر أسهم أوروبا","الأهلي لمؤشر أسهم أوروبا",\N,"1","صناديق الأسهم - أوروبية",\N,\N,\N,"1","NCB.jpg","مؤشر إم إس سي آي الإسلامي لمنطقة أوروبا من الفئة إم",\N,"1999-03-29","2.082","USD","33003080","1.85","3","",\N,\N,"84430020.3","2023-01-05","يومي","Daily","يومي","Daily","4.4824","0","2021-10-28 18:49:10","2023-01-09 04:05:19","7,509"
"123","006021","شركة الأول للاستثمار","Alawwal Invest","Alawwal Invest Global Equity Index Fund","صندوق الأول للإستثمار لمؤشر الأسھم العالمیة","مؤشر الأسهم عالمية",\N,"1","صناديق الأسهم - عالمية/ دولية",\N,\N,\N,"1","HSBC.png","",\N,"2004-06-15","9.7554","USD","0","-0.92","3","",\N,\N,"33539081.94","2023-01-05","الثلاثاء و الخميس","Tuesday and Thursday","الأحد والاربعاء","Sunday and Wednesday","33.1596","0","2021-10-28 18:49:10","2023-01-09 04:05:18","2,000"
"125","011049","شركة الأهلي المالية","SNB Capital","SNB Capital GCC Growth and Income Fund","صندوق الأهلي الخليجي للنمو والدخل","الخليجي للنمو والدخل",\N,"1","صناديق الأسهم - محلية","Equity Funds - Local",\N,\N,"1","NCB.jpg","مؤشر ستاندرد آند بورز للأسھم الخليجية ذات التوزيعات النقدية والمتوافقة مع أحكام الشريعة الإسلامية",\N,"2011-10-31","1","SAR","0","16.17","3","",\N,\N,"151082164.16","2023-06-08","يومي","Daily","يومي","Daily","2.2683","0","2021-10-28 18:49:10","2023-06-12 04:41:23","5,000"
"127","045003","شركة الإنماء للإستثمار","Alinma Investment Company","Alinma Multi Assets Balanced Fund","صندوق الإنماء المتوازن متعدد الأصول","الإنماء المتوازن",\N,"1","صناديق متعددة الأصول",\N,\N,\N,"1","alinma.jpg","نسبة 50% من مؤشر الإنماء للأسهم السعودية المتوافق مع الضوابط الشرعية من قبل ايديال ريتنجز نسبة 50% من معدل عائد التعامل بين البنوك السعودية لمدة ستة شهور SAIBOR",\N,"2013-04-06","10","SAR","1468405760","0.64",\N,"",\N,\N,"13397357.42","2023-01-04","الإثنين و الأربعاء","Monday and Wednesday","الثلاثاء و الخميس","Tuesday and Thursday","17.5626","0","2021-10-28 18:49:10","2023-01-09 04:05:19","5,000"
"130","014012","شركة البلاد للاستثمار","ALBILAD Investment Co","Ensan Endowment Fund","صندوق انسان الاستثماري الوقفي","صندوق انسان",\N,"1","صناديق متعددة الأصول",\N,\N,\N,"1","Albilad.png","ايدال ريتنق Albilad_Capital_Saudi_pure",\N,"2019-11-27","10","SAR","288553","0.2","3","",\N,\N,"219669387.06","2023-01-08","الأحد والاربعاء","Sunday and Wednesday","الإثنين والخميس","Monday and Thursday","10.7511","0","2021-10-28 18:49:10","2023-01-10 04:15:18","500"
"134","102008","شركة كسب المالية","KSB Capital Company","KSB Real Estate Opportunity Fund","صندوق كسب الفرص العقارية","صندوق الفرص",\N,"1","صناديق عقارية",\N,\N,\N,"1","KASB.jpg","سعر التقيم",\N,"2012-01-07","10","SAR","0","2.97",\N,"",\N,\N,"15590936.18","2022-10-31","السبت","Saturday","الأحد","Sunday","9.5147","0","2021-10-28 18:49:10","2023-01-09 04:05:19","5,000"
"139","001013","شركة الرياض المالية","Riyad Capital Company","Riyad International Bond Fund","صندوق الرياض للسندات الدولية","السندات الدولية",\N,"4","صناديق أدوات دين - دولية",\N,\N,\N,"0","Riyad.png","Barclays Cap Index(Bonds)",\N,"1992-05-12","10.4934","USD","0","-22.26","2","",\N,\N,"138395.31","2022-09-05","من الاثنين حتى الاربعاء","Monday to Wednesday","من الاثنين حتى الاربعاء","Monday to Wednesday","12.1541","0","2021-10-28 18:49:10","2023-01-01 04:16:28","2,500"
